"Date","Price","Open","High","Low","Vol.","Change %"
"02/01/2021","1.308","1.202","1.308","1.202","331.55K","8.78%"
"01/01/2021","1.202","1.218","1.218","1.162","392.72K","-1.33%"
"12/01/2020","1.218","1.218","1.218","1.194","255.50K","0.00%"
"11/01/2020","1.218","1.227","1.227","1.210","202.87K","-1.96%"
"10/01/2020","1.243","1.170","1.259","1.162","170.37K","6.99%"
"09/01/2020","1.162","1.137","1.162","1.137","217.85K","1.42%"
"08/01/2020","1.145","1.176","1.218","1.121","324.92K","-3.22%"
"07/01/2020","1.184","1.036","1.184","1.029","526.86K","15.00%"
"06/01/2020","1.029","1.029","1.044","0.992","138.05K","0.00%"
"05/01/2020","1.029","0.882","1.029","0.882","55.75K","7.69%"
"04/01/2020","0.956","1.014","1.029","0.838","341.38K","-5.80%"
"03/01/2020","1.014","1.103","1.110","1.014","324.64K","-5.48%"
"02/01/2020","1.073","1.088","1.139","1.073","497.63K","-2.01%"
"01/01/2020","1.095","1.088","1.110","1.088","561.78K","-0.67%"
"12/01/2019","1.103","1.095","1.103","1.066","592.32K","0.00%"
"11/01/2019","1.103","1.103","1.103","1.066","140.32K","3.45%"
"10/01/2019","1.066","1.103","1.103","1.066","593.00K","-3.33%"
"09/01/2019","1.103","1.103","1.103","1.066","230.35K","4.17%"
"08/01/2019","1.059","1.103","1.103","1.059","326.36K","-8.28%"
"07/01/2019","1.154","1.139","1.154","1.081","293.00K","1.29%"
"06/01/2019","1.139","1.110","1.139","1.103","99.69K","2.65%"
"05/01/2019","1.110","1.117","1.154","1.103","128.44K","-2.58%"
"04/01/2019","1.139","1.183","1.183","1.068","149.51K","-0.83%"
"03/01/2019","1.149","1.149","1.183","1.081","186.13K","3.66%"
"02/01/2019","1.108","1.075","1.108","1.068","157.75K","3.80%"
"01/01/2019","1.068","1.088","1.088","1.068","167.04K","-1.25%"
"12/01/2018","1.081","0.953","1.081","0.953","107.03K","13.48%"
"11/01/2018","0.953","1.004","1.004","0.917","192.25K","-4.41%"
"10/01/2018","0.997","1.084","1.084","0.997","88.14K","-8.02%"
"09/01/2018","1.084","1.064","1.091","1.057","358.28K","1.25%"
"08/01/2018","1.071","0.937","1.071","0.937","240.49K","14.29%"
"07/01/2018","0.937","0.870","0.937","0.856","103.11K","5.26%"
"06/01/2018","0.890","0.883","0.910","0.870","146.06K","0.76%"
"05/01/2018","0.883","0.863","0.903","0.830","373.01K","7.51%"
"04/01/2018","0.822","0.803","0.852","0.761","308.43K","2.27%"
"03/01/2018","0.803","0.730","0.809","0.730","107.23K","10.00%"
"02/01/2018","0.730","0.761","0.767","0.700","145.32K","-4.76%"
"01/01/2018","0.767","0.706","0.767","0.706","177.13K","8.62%"
"12/01/2017","0.706","0.706","0.712","0.645","395.67K","0.00%"
"11/01/2017","0.706","0.779","0.779","0.682","310.22K","-9.37%"
"10/01/2017","0.779","0.657","0.779","0.657","728.82K","19.63%"
"09/01/2017","0.651","0.663","0.682","0.651","399.80K","0.00%"
"08/01/2017","0.651","0.657","0.663","0.627","605.03K","-1.83%"
"07/01/2017","0.663","0.648","0.666","0.648","365.17K","4.36%"
"06/01/2017","0.636","0.611","0.660","0.611","255.50K","3.96%"
"05/01/2017","0.611","0.617","0.666","0.611","645.35K","1.00%"
"04/01/2017","0.605","0.570","0.618","0.570","1.65M","7.21%"
"03/01/2017","0.565","0.586","0.586","0.549","259.16K","-3.64%"
"02/01/2017","0.586","0.586","0.613","0.559","149.74K","0.00%"
